"releasename","institutionid","unitid","comparisongroupid","institutionname","unitname","comparisongroupname","facultycount","facultycount_rank","articlecount","articlecount_rank","articlefacultycount","articlefacultycount_rank","articlecountperauthor","articlecountperauthor_rank","citationcount","citationcount_rank","citationfacultycount","citationfacultycount_rank","pctofauthorwithcitation","pctofauthorwithcitation_rank","grantfacultycount","grantfacultycount_rank","grantcount","grantcount_rank","grantdollars","grantdollars_rank","awardcount","awardcount_rank","awardfacultycount","awardfacultycount_rank","bookcount","bookcount_rank","bookfacultycount","bookfacultycount_rank","awardsweight","grantsweight","booksweight","citationsweight","articlesweight","pctoffacwithbook","pctoffacwithbook_zscore","pctoffacwithbook_rank","pctoffacwithbook_pct","bookcountperfaculty","bookcountperfaculty_zscore","bookcountperfaculty_rank","bookcountperfaculty_pct","pctoffacwitharticle","pctoffacwitharticle_zscore","pctoffacwitharticle_rank","pctoffacwitharticle_pct","articlecountperfaculty","articlecountperfaculty_zscore","articlecountperfaculty_rank","articlecountperfaculty_pct","pctoffacwithcitation","pctoffacwithcitation_zscore","pctoffacwithcitation_rank","pctoffacwithcitation_pct","citationcountperfaculty","citationcountperfaculty_zscore","citationcountperfaculty_rank","citationcountperfaculty_pct","citationcountperarticle","citationcountperarticle_zscore","citationcountperarticle_rank","citationcountperarticle_pct","pctoffacwithgrant","pctoffacwithgrant_zscore","pctoffacwithgrant_rank","pctoffacwithgrant_pct","grantcountperfaculty","grantcountperfaculty_zscore","grantcountperfaculty_rank","grantcountperfaculty_pct","grantdollarsperfaculty","grantdollarsperfaculty_zscore","grantdollarsperfaculty_rank","grantdollarsperfaculty_pct","dollarspergrant","dollarspergrant_zscore","dollarspergrant_rank","dollarspergrant_pct","awardcountperfaculty","awardcountperfaculty_zscore","awardcountperfaculty_rank","awardcountperfaculty_pct","pctoffacwithaward","pctoffacwithaward_zscore","pctoffacwithaward_rank","pctoffacwithaward_pct","sri","sri_rank","sri_pct","awardfacultycount_zscore","bookfacultycount_zscore","citationfacultycount_zscore","grantfacultycount_zscore","articlefacultycount_zscore","articlecountperauthor_zscore","pctofauthorwithcitation_zscore","awardcount_zscore","bookcount_zscore","citationcount_zscore","grantdollars_zscore","grantcount_zscore","articlecount_zscore","facultycount_zscore","awardfacultycount_pct","bookfacultycount_pct","citationfacultycount_pct","grantfacultycount_pct","articlefacultycount_pct","articlecountperauthor_pct","pctofauthorwithcitation_pct","awardcount_pct","bookcount_pct","citationcount_pct","grantdollars_pct","grantcount_pct","articlecount_pct","facultycount_pct","unitsincomparisongroup","createddate","confproccount","confprocfacultycount","confproccountperauthor","confproccountperfaculty","pctoffacwithconfproc","confprocfacultycount_rank","confproccountperauthor_rank","confproccount_rank","confproccountperfaculty_rank","pctoffacwithconfproc_rank","confprocfacultycount_zscore","confproccountperauthor_zscore","confproccount_zscore","confproccountperfaculty_zscore","pctoffacwithconfproc_zscore","confprocfacultycount_pct","confproccountperauthor_pct","confproccount_pct","confproccountperfaculty_pct","pctoffacwithconfproc_pct","confprocweight","chaptercount","chaptercount_pct","chaptercount_rank","chaptercount_zscore","chaptercountperfaculty","chaptercountperfaculty_pct","chaptercountperfaculty_rank","chaptercountperfaculty_zscore","chapterfacultycount","chapterfacultycount_pct","chapterfacultycount_rank","chapterfacultycount_zscore","patentcount","patentcount_pct","patentcount_rank","patentcount_zscore","patentcountperfaculty","patentcountperfaculty_pct","patentcountperfaculty_rank","patentcountperfaculty_zscore","patentfacultycount","patentfacultycount_pct","patentfacultycount_rank","patentfacultycount_zscore","pctoffacwithchapter","pctoffacwithchapter_pct","pctoffacwithchapter_rank","pctoffacwithchapter_zscore","pctoffacwithpatent","pctoffacwithpatent_pct","pctoffacwithpatent_rank","pctoffacwithpatent_zscore","pctoffacwithtrial","pctoffacwithtrial_pct","pctoffacwithtrial_rank","pctoffacwithtrial_zscore","trialcount","trialcount_pct","trialcount_rank","trialcount_zscore","trialcountperfaculty","trialcountperfaculty_pct","trialcountperfaculty_rank","trialcountperfaculty_zscore","trialfacultycount","trialfacultycount_pct","trialfacultycount_rank","trialfacultycount_zscore","chaptersweight","patentsweight","trialsweight"
"AAD2023.06.02752","103","90","6","Kansas State University","Agronomy, Department of","Agronomy and Crop Science","39","8.0000","910","1.0000","39","8.0000","23.3300","3.0000","16868","2.0000","39","8.0000","1.0000","1.0000","8","15.0000","9","22.0000","12761909.0000","13.0000","78","1.0000","27","1.0000","9","2.0000","7","1.0000","10","17","5","23","20","0.1800","1.6000","3.0000","93.5500","0.2300","1.7500","2.0000","96.7700","1.0000","0.6900","1.0000","100.0000","23.3300","1.4300","3.0000","93.5500","1.0000","0.6900","1.0000","100.0000","432.5100","0.9000","5.0000","87.1000","18.5400","-0.0600","16.0000","51.6100","0.2100","-1.0700","27.0000","16.1300","0.2300","-1.2600","28.0000","12.9000","327228.4400","-0.2700","15.0000","54.8400","1417989.8900","1.1100","4.0000","90.3200","2.0000","2.3700","1.0000","100.0000","0.6900","1.4700","3.0000","93.5500","0.4000","6.0000","83.8700","1.8900","2.2600","0.7600","-0.2800","0.7700","1.3700","0.3119","2.5400","2.1700","1.4800","0.1200","-0.6400","1.9000","0.6900","100.0000","100.0000","77.4200","54.8400","77.4200","93.5500","100.0000","100.0000","96.7700","96.7700","61.2900","32.2600","100.0000","77.4200","31","4/1/2025 16:37","19","10","1.9000","0.4900","0.2600","7.0000","11.0000","10.0000","11.0000","10.0000","0.8200","0.2338","0.5900","0.1400","0.4500","80.6500","67.7400","70.9700","67.7400","70.9700","7","14","83.8700","6.0000","0.9800","0.3600","74.1900","9.0000","0.5500","11","90.3200","4.0000","1.2800","2","48.3900","17.0000","-0.5800","0.0500","35.4800","21.0000","-0.7200","2","51.6100","16.0000","-0.3100","0.2800","80.6500","7.0000","0.8200","0.0500","38.7100","20.0000","-0.5100","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","148","417","6","North Carolina State University","Crop and Soil Science, Department of","Agronomy and Crop Science","46","6.0000","592","8.0000","43","6.0000","13.7700","15.0000","6740","16.0000","43","6.0000","0.9800","28.0000","12","10.0000","19","11.0000","30449464.0000","2.0000","40","8.0000","17","7.0000","1","17.0000","1","15.0000","10","17","5","23","20","0.0200","-0.8700","26.0000","19.3500","0.0200","-0.8600","26.0000","19.3500","0.9300","0.2200","19.0000","41.9400","12.8700","-0.0600","17.0000","48.3900","0.9300","0.1000","19.0000","41.9400","146.5200","-0.6200","24.0000","25.8100","11.3900","-0.9000","28.0000","12.9000","0.2600","-0.7200","24.0000","25.8100","0.4100","-0.7000","24.0000","25.8100","661944.8700","0.7900","6.0000","83.8700","1602603.3700","1.4000","2.0000","96.7700","0.8700","0.1000","12.0000","64.5200","0.3700","-0.2500","20.0000","38.7100","-0.2000","18.0000","45.1600","0.6700","-0.5100","0.9900","0.3600","1.0000","-0.0400","-0.5104","0.7400","-0.5300","-0.1200","1.8800","0.1700","0.7700","1.0900","80.6500","54.8400","83.8700","70.9700","83.8700","54.8400","12.9000","77.4200","48.3900","51.6100","96.7700","67.7400","77.4200","83.8700","31","4/1/2025 16:37","20","8","2.5000","0.4300","0.1700","10.0000","7.0000","9.0000","14.0000","18.0000","0.4100","0.7870","0.6800","0.0100","-0.1800","70.9700","80.6500","74.1900","58.0600","45.1600","7","5","48.3900","17.0000","-0.4300","0.1100","16.1300","27.0000","-0.9700","4","51.6100","16.0000","-0.3400","29","96.7700","2.0000","2.3000","0.6300","93.5500","3.0000","1.5800","3","64.5200","12.0000","0.0500","0.0900","16.1300","27.0000","-0.9900","0.0700","45.1600","18.0000","-0.3600","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","161","593","6","Oregon State University","Crop and Soil Science, Department of","Agronomy and Crop Science","38","9.0000","375","16.0000","34","9.0000","11.0300","21.0000","7265","15.0000","34","9.0000","0.9700","29.0000","7","21.0000","11","19.0000","7651605.0000","17.0000","19","16.0000","14","12.0000","1","17.0000","1","15.0000","10","17","5","23","20","0.0300","-0.8000","25.0000","22.5800","0.0300","-0.8100","25.0000","22.5800","0.8900","-0.0700","23.0000","29.0300","9.8700","-0.4900","22.0000","32.2600","0.8900","-0.2700","23.0000","29.0300","191.1800","-0.3800","17.0000","48.3900","19.3700","0.0400","13.0000","61.2900","0.1800","-1.1900","28.0000","12.9000","0.2900","-1.0800","26.0000","19.3500","201358.0300","-0.6700","23.0000","29.0300","695600.4500","0.0000","10.0000","70.9700","0.5000","-0.6500","22.0000","32.2600","0.3700","-0.2600","21.0000","35.4800","-0.4000","21.0000","35.4800","0.3000","-0.5100","0.4700","-0.4400","0.4900","-0.4400","-0.7218","-0.2500","-0.5300","-0.0400","-0.3900","-0.4800","-0.0100","0.6400","64.5200","54.8400","74.1900","35.4800","74.1900","35.4800","9.6800","51.6100","48.3900","54.8400","48.3900","41.9400","51.6100","74.1900","31","4/1/2025 16:37","11","6","1.8300","0.2900","0.1600","14.0000","12.0000","14.0000","19.0000","19.0000","0.0100","0.1692","-0.1200","-0.3500","-0.3000","58.0600","64.5200","58.0600","41.9400","41.9400","7","14","83.8700","6.0000","0.9800","0.3700","77.4200","8.0000","0.6000","8","77.4200","8.0000","0.5800","4","54.8400","15.0000","-0.3600","0.1100","48.3900","17.0000","-0.5000","3","64.5200","12.0000","0.0500","0.2100","58.0600","14.0000","0.1500","0.0800","48.3900","17.0000","-0.2200","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","215","1149","6","Texas A&M University","Soil and Crop Sciences, Department of","Agronomy and Crop Science","66","2.0000","819","3.0000","64","2.0000","12.8000","18.0000","11799","9.0000","64","2.0000","1.0000","1.0000","23","2.0000","39","4.0000","28066931.0000","4.0000","48","4.0000","20","6.0000","8","4.0000","6","4.0000","10","17","5","23","20","0.0900","0.2100","11.0000","67.7400","0.1200","0.3800","10.0000","70.9700","0.9700","0.4700","13.0000","61.2900","12.4100","-0.1200","18.0000","45.1600","0.9700","0.4100","14.0000","58.0600","178.7700","-0.4500","20.0000","38.7100","14.4100","-0.5500","21.0000","35.4800","0.3500","-0.1800","17.0000","48.3900","0.5900","-0.1500","16.0000","51.6100","425256.5300","0.0400","11.0000","67.7400","719664.9000","0.0300","8.0000","77.4200","0.7300","-0.1900","17.0000","48.3900","0.3000","-0.6100","24.0000","25.8100","0.0000","16.0000","51.6100","1.0300","1.8000","2.1800","2.1200","2.1800","-0.1800","0.3119","1.1200","1.8300","0.6800","1.6400","1.8000","1.5800","2.2400","83.8700","90.3200","96.7700","96.7700","96.7700","45.1600","100.0000","90.3200","90.3200","74.1900","90.3200","90.3200","93.5500","96.7700","31","4/1/2025 16:37","30","18","1.6700","0.4500","0.2700","1.0000","16.0000","3.0000","12.0000","9.0000","2.4200","0.0217","1.5800","0.0600","0.5700","100.0000","51.6100","93.5500","64.5200","74.1900","7","15","87.1000","5.0000","1.1400","0.2300","45.1600","18.0000","-0.2500","14","96.7700","2.0000","1.9700","33","100.0000","1.0000","2.7300","0.5000","83.8700","6.0000","1.0600","11","100.0000","1.0000","2.8700","0.2100","61.2900","13.0000","0.1700","0.1700","83.8700","6.0000","0.7100","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","250","1628","6","University of Arkansas","Crop, Soil and Environmental Sciences, Department of","Agronomy and Crop Science","17","19.0000","393","14.0000","17","18.0000","23.1200","4.0000","3939","19.0000","17","18.0000","1.0000","1.0000","3","28.0000","3","28.0000","1365914.0000","28.0000","15","19.0000","7","19.0000","2","8.0000","2","8.0000","10","17","5","23","20","0.1200","0.6300","9.0000","74.1900","0.1200","0.3400","12.0000","64.5200","1.0000","0.6900","1.0000","100.0000","23.1200","1.4000","4.0000","90.3200","1.0000","0.6900","1.0000","100.0000","231.7100","-0.1700","16.0000","51.6100","10.0200","-1.0700","29.0000","9.6800","0.1800","-1.2400","29.0000","9.6800","0.1800","-1.4200","30.0000","6.4500","80347.8800","-1.0500","29.0000","9.6800","455304.6700","-0.3800","19.0000","41.9400","0.8800","0.1200","11.0000","67.7400","0.4100","-0.0300","17.0000","48.3900","0.2000","9.0000","74.1900","-0.5600","-0.0400","-0.4900","-1.0800","-0.4700","1.3400","0.3119","-0.4400","-0.2000","-0.5600","-1.0200","-1.1300","0.0500","-0.5700","41.9400","77.4200","45.1600","12.9000","45.1600","90.3200","100.0000","41.9400","77.4200","41.9400","12.9000","12.9000","58.0600","41.9400","31","4/1/2025 16:37","1","1","1.0000","0.0600","0.0600","24.0000","22.0000","23.0000","26.0000","26.0000","-0.9900","-0.5960","-1.0200","-0.9300","-1.0600","25.8100","32.2600","29.0300","19.3500","19.3500","7","2","25.8100","24.0000","-0.9000","0.1200","22.5800","25.0000","-0.9200","2","32.2600","22.0000","-0.8100","13","83.8700","6.0000","0.5900","0.7600","96.7700","2.0000","2.1100","5","83.8700","6.0000","0.7500","0.1200","29.0300","23.0000","-0.7100","0.2900","96.7700","2.0000","2.0500","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","273","2122","6","University of Florida","Agronomy, Department of","Agronomy and Crop Science","32","11.0000","769","4.0000","31","11.0000","24.8100","2.0000","9237","12.0000","31","11.0000","1.0000","1.0000","8","15.0000","9","22.0000","3416258.0000","23.0000","25","12.0000","14","12.0000","1","17.0000","1","15.0000","10","17","5","23","20","0.0300","-0.7200","23.0000","29.0300","0.0300","-0.7400","23.0000","29.0300","0.9700","0.4700","14.0000","58.0600","24.0300","1.5300","2.0000","96.7700","0.9700","0.4100","15.0000","54.8400","288.6600","0.1300","10.0000","70.9700","12.0100","-0.8300","27.0000","16.1300","0.2500","-0.7900","25.0000","22.5800","0.2800","-1.1000","27.0000","16.1300","106758.0600","-0.9700","28.0000","12.9000","379584.2200","-0.4900","20.0000","38.7100","0.7800","-0.0800","15.0000","54.8400","0.4400","0.1100","14.0000","58.0600","0.4000","6.0000","83.8700","0.3000","-0.5100","0.3000","-0.2800","0.3200","1.5900","0.3119","0.0300","-0.5300","0.2700","-0.8100","-0.6400","1.4000","0.2900","64.5200","54.8400","67.7400","54.8400","67.7400","96.7700","100.0000","64.5200","48.3900","64.5200","29.0300","32.2600","90.3200","67.7400","31","4/1/2025 16:37","36","9","4.0000","1.1300","0.2800","9.0000","1.0000","2.0000","3.0000","7.0000","0.6100","2.1700","2.1100","1.7500","0.6400","74.1900","100.0000","96.7700","93.5500","80.6500","7","14","83.8700","6.0000","0.9800","0.4400","87.1000","5.0000","1.0200","9","80.6500","7.0000","0.8100","6","64.5200","12.0000","-0.1500","0.1900","54.8400","15.0000","-0.1800","3","64.5200","12.0000","0.0500","0.2800","77.4200","8.0000","0.8100","0.0900","58.0600","14.0000","-0.0600","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","290","2510","6","University of Maryland Eastern Shore","Agriculture, Food and Resource Sciences, Department of","Agronomy and Crop Science","19","16.0000","117","23.0000","15","19.0000","7.8000","26.0000","1420","26.0000","17","18.0000","1.0000","1.0000","11","12.0000","21","9.0000","10107860.0000","14.0000","3","28.0000","2","28.0000","1","17.0000","1","15.0000","10","17","5","23","20","0.0500","-0.3900","19.0000","41.9400","0.0500","-0.4800","20.0000","38.7100","0.7900","-0.8200","26.0000","19.3500","6.1600","-1.0200","26.0000","19.3500","0.8900","-0.2700","23.0000","29.0300","74.7400","-1.0000","29.0000","9.6800","12.1400","-0.8100","26.0000","19.3500","0.5800","1.2400","4.0000","90.3200","1.1100","1.4200","4.0000","90.3200","531992.6300","0.3800","10.0000","70.9700","481326.6700","-0.3400","17.0000","48.3900","0.1600","-1.3300","29.0000","9.6800","0.1100","-1.6600","30.0000","6.4500","-0.8000","26.0000","19.3500","-1.1700","-0.5100","-0.4900","0.2000","-0.5900","-0.9100","0.3119","-1.0100","-0.5300","-0.9600","-0.1500","0.3300","-0.9300","-0.4500","12.9000","54.8400","45.1600","64.5200","41.9400","19.3500","100.0000","12.9000","48.3900","19.3500","58.0600","74.1900","29.0300","51.6100","31","4/1/2025 16:37","3","2","1.5000","0.1600","0.1100","20.0000","18.0000","21.0000","21.0000","23.0000","-0.7900","-0.1350","-0.8400","-0.6800","-0.7000","38.7100","45.1600","35.4800","35.4800","29.0300","7","2","25.8100","24.0000","-0.9000","0.1100","12.9000","28.0000","-0.9900","2","32.2600","22.0000","-0.8100","0","29.0300","23.0000","-0.7900","0.0000","29.0300","23.0000","-0.9200","0","29.0300","23.0000","-1.0100","0.1100","19.3500","26.0000","-0.8200","0.0000","29.0300","23.0000","-1.0500","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","48","3910","6","Colorado State University","Soil and Crop Sciences, Department of","Agronomy and Crop Science","15","20.0000","339","18.0000","15","19.0000","22.6000","5.0000","14030","5.0000","15","20.0000","1.0000","1.0000","8","15.0000","20","10.0000","13493617.0000","12.0000","26","11.0000","13","14.0000","1","17.0000","1","15.0000","10","17","5","23","20","0.0700","-0.1700","15.0000","54.8400","0.0700","-0.3000","17.0000","48.3900","1.0000","0.6900","1.0000","100.0000","22.6000","1.3300","5.0000","87.1000","1.0000","0.6900","1.0000","100.0000","935.3300","3.5800","1.0000","100.0000","41.3900","2.6500","1.0000","100.0000","0.5300","0.9600","7.0000","80.6500","1.3300","2.1200","1.0000","100.0000","899574.4700","1.5500","2.0000","96.7700","674680.8500","-0.0400","11.0000","67.7400","1.7300","1.8300","3.0000","93.5500","0.8700","2.4000","2.0000","96.7700","0.9000","1.0000","100.0000","0.1800","-0.5100","-0.6000","-0.2800","-0.5900","1.2600","0.3119","0.0800","-0.5300","1.0300","0.1900","0.2500","-0.1400","-0.6800","58.0600","54.8400","38.7100","54.8400","41.9400","87.1000","100.0000","67.7400","48.3900","87.1000","64.5200","70.9700","45.1600","38.7100","31","4/1/2025 16:37","10","6","1.6700","0.6700","0.4000","14.0000","16.0000","18.0000","7.0000","3.0000","0.0100","0.0217","-0.2100","0.5900","1.5400","58.0600","51.6100","45.1600","80.6500","93.5500","7","9","67.7400","11.0000","0.2000","0.6000","96.7700","2.0000","2.0100","5","54.8400","15.0000","-0.1100","3","51.6100","16.0000","-0.4700","0.2000","58.0600","14.0000","-0.1300","2","51.6100","16.0000","-0.3100","0.3300","93.5500","3.0000","1.2900","0.1300","67.7400","11.0000","0.3500","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","274","4774","6","University of Georgia","Crop and Soil Science, Department of","Agronomy and Crop Science","51","4.0000","719","5.0000","50","4.0000","14.3800","13.0000","13925","6.0000","50","4.0000","1.0000","1.0000","14","6.0000","40","3.0000","31537248.0000","1.0000","57","3.0000","23","4.0000","2","8.0000","2","8.0000","10","17","5","23","20","0.0400","-0.6000","21.0000","35.4800","0.0400","-0.6400","22.0000","32.2600","0.9800","0.5500","12.0000","64.5200","14.1000","0.1200","13.0000","61.2900","0.9800","0.5100","12.0000","64.5200","273.0400","0.0500","12.0000","64.5200","19.3700","0.0400","14.0000","58.0600","0.2700","-0.6400","22.0000","32.2600","0.7800","0.4400","9.0000","74.1900","618377.4100","0.6600","8.0000","77.4200","788431.2000","0.1400","7.0000","80.6500","1.1200","0.6000","7.0000","80.6500","0.4500","0.1800","13.0000","61.2900","0.1000","11.0000","67.7400","1.4000","-0.0400","1.3800","0.6800","1.3900","0.0500","0.3119","1.5500","-0.2000","1.0100","1.9900","1.8800","1.2200","1.3800","90.3200","77.4200","90.3200","83.8700","90.3200","61.2900","100.0000","93.5500","77.4200","83.8700","100.0000","93.5500","87.1000","90.3200","31","4/1/2025 16:37","26","10","2.6000","0.5100","0.2000","7.0000","6.0000","4.0000","10.0000","17.0000","0.8200","0.8792","1.2200","0.2000","-0.0100","80.6500","83.8700","90.3200","70.9700","48.3900","7","8","64.5200","12.0000","0.0400","0.1600","25.8100","24.0000","-0.6800","7","70.9700","10.0000","0.3500","29","96.7700","2.0000","2.3000","0.5700","90.3200","4.0000","1.3300","6","93.5500","3.0000","1.1000","0.1400","32.2600","22.0000","-0.5300","0.1200","61.2900","13.0000","0.1900","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
"AAD2023.06.02752","280","4846","6","University of Illinois at Urbana-Champaign","Crop Sciences, Department of","Agronomy and Crop Science","40","7.0000","578","9.0000","40","7.0000","14.4500","12.0000","14297","4.0000","40","7.0000","1.0000","1.0000","13","8.0000","23","8.0000","14372583.0000","11.0000","42","7.0000","16","9.0000","2","8.0000","2","8.0000","10","17","5","23","20","0.0500","-0.4300","20.0000","38.7100","0.0500","-0.5100","21.0000","35.4800","1.0000","0.6900","1.0000","100.0000","14.4500","0.1700","11.0000","67.7400","1.0000","0.6900","1.0000","100.0000","357.4300","0.5000","9.0000","74.1900","24.7400","0.6800","7.0000","80.6500","0.3300","-0.3300","18.0000","45.1600","0.5800","-0.2000","19.0000","41.9400","359314.5800","-0.1700","12.0000","64.5200","624894.9100","-0.1100","13.0000","61.2900","1.0500","0.4600","9.0000","74.1900","0.4000","-0.0900","19.0000","41.9400","0.2000","9.0000","74.1900","0.5400","-0.0400","0.8200","0.5200","0.8300","0.0600","0.3119","0.8400","-0.2000","1.0700","0.2800","0.5000","0.7200","0.7500","74.1900","77.4200","80.6500","77.4200","80.6500","64.5200","100.0000","80.6500","77.4200","90.3200","67.7400","77.4200","74.1900","80.6500","31","4/1/2025 16:37","11","6","1.8300","0.2800","0.1500","14.0000","12.0000","14.0000","20.0000","21.0000","0.0100","0.1692","-0.1200","-0.3900","-0.3600","58.0600","64.5200","58.0600","38.7100","35.4800","7","11","70.9700","10.0000","0.5100","0.2800","54.8400","15.0000","0.0400","7","70.9700","10.0000","0.3500","18","90.3200","4.0000","1.1300","0.4500","80.6500","7.0000","0.8600","9","96.7700","2.0000","2.1600","0.1800","41.9400","19.0000","-0.1700","0.2300","90.3200","4.0000","1.3200","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","0.0000","96.7700","2.0000","-0.1800","0","96.7700","2.0000","-0.1800","11","7","0"
