"releasename","institutionid","unitid","comparisongroupid","institutionname","unitname","comparisongroupname","facultycount","facultycount_rank","articlecount","articlecount_rank","articlefacultycount","articlefacultycount_rank","articlecountperauthor","articlecountperauthor_rank","citationcount","citationcount_rank","citationfacultycount","citationfacultycount_rank","pctofauthorwithcitation","pctofauthorwithcitation_rank","grantfacultycount","grantfacultycount_rank","grantcount","grantcount_rank","grantdollars","grantdollars_rank","awardcount","awardcount_rank","awardfacultycount","awardfacultycount_rank","bookcount","bookcount_rank","bookfacultycount","bookfacultycount_rank","awardsweight","grantsweight","booksweight","citationsweight","articlesweight","pctoffacwithbook","pctoffacwithbook_zscore","pctoffacwithbook_rank","pctoffacwithbook_pct","bookcountperfaculty","bookcountperfaculty_zscore","bookcountperfaculty_rank","bookcountperfaculty_pct","pctoffacwitharticle","pctoffacwitharticle_zscore","pctoffacwitharticle_rank","pctoffacwitharticle_pct","articlecountperfaculty","articlecountperfaculty_zscore","articlecountperfaculty_rank","articlecountperfaculty_pct","pctoffacwithcitation","pctoffacwithcitation_zscore","pctoffacwithcitation_rank","pctoffacwithcitation_pct","citationcountperfaculty","citationcountperfaculty_zscore","citationcountperfaculty_rank","citationcountperfaculty_pct","citationcountperarticle","citationcountperarticle_zscore","citationcountperarticle_rank","citationcountperarticle_pct","pctoffacwithgrant","pctoffacwithgrant_zscore","pctoffacwithgrant_rank","pctoffacwithgrant_pct","grantcountperfaculty","grantcountperfaculty_zscore","grantcountperfaculty_rank","grantcountperfaculty_pct","grantdollarsperfaculty","grantdollarsperfaculty_zscore","grantdollarsperfaculty_rank","grantdollarsperfaculty_pct","dollarspergrant","dollarspergrant_zscore","dollarspergrant_rank","dollarspergrant_pct","awardcountperfaculty","awardcountperfaculty_zscore","awardcountperfaculty_rank","awardcountperfaculty_pct","pctoffacwithaward","pctoffacwithaward_zscore","pctoffacwithaward_rank","pctoffacwithaward_pct","sri","sri_rank","sri_pct","awardfacultycount_zscore","bookfacultycount_zscore","citationfacultycount_zscore","grantfacultycount_zscore","articlefacultycount_zscore","articlecountperauthor_zscore","pctofauthorwithcitation_zscore","awardcount_zscore","bookcount_zscore","citationcount_zscore","grantdollars_zscore","grantcount_zscore","articlecount_zscore","facultycount_zscore","awardfacultycount_pct","bookfacultycount_pct","citationfacultycount_pct","grantfacultycount_pct","articlefacultycount_pct","articlecountperauthor_pct","pctofauthorwithcitation_pct","awardcount_pct","bookcount_pct","citationcount_pct","grantdollars_pct","grantcount_pct","articlecount_pct","facultycount_pct","unitsincomparisongroup","createddate","confproccount","confprocfacultycount","confproccountperauthor","confproccountperfaculty","pctoffacwithconfproc","confprocfacultycount_rank","confproccountperauthor_rank","confproccount_rank","confproccountperfaculty_rank","pctoffacwithconfproc_rank","confprocfacultycount_zscore","confproccountperauthor_zscore","confproccount_zscore","confproccountperfaculty_zscore","pctoffacwithconfproc_zscore","confprocfacultycount_pct","confproccountperauthor_pct","confproccount_pct","confproccountperfaculty_pct","pctoffacwithconfproc_pct","confprocweight","chaptercount","chaptercount_pct","chaptercount_rank","chaptercount_zscore","chaptercountperfaculty","chaptercountperfaculty_pct","chaptercountperfaculty_rank","chaptercountperfaculty_zscore","chapterfacultycount","chapterfacultycount_pct","chapterfacultycount_rank","chapterfacultycount_zscore","patentcount","patentcount_pct","patentcount_rank","patentcount_zscore","patentcountperfaculty","patentcountperfaculty_pct","patentcountperfaculty_rank","patentcountperfaculty_zscore","patentfacultycount","patentfacultycount_pct","patentfacultycount_rank","patentfacultycount_zscore","pctoffacwithchapter","pctoffacwithchapter_pct","pctoffacwithchapter_rank","pctoffacwithchapter_zscore","pctoffacwithpatent","pctoffacwithpatent_pct","pctoffacwithpatent_rank","pctoffacwithpatent_zscore","pctoffacwithtrial","pctoffacwithtrial_pct","pctoffacwithtrial_rank","pctoffacwithtrial_zscore","trialcount","trialcount_pct","trialcount_rank","trialcount_zscore","trialcountperfaculty","trialcountperfaculty_pct","trialcountperfaculty_rank","trialcountperfaculty_zscore","trialfacultycount","trialfacultycount_pct","trialfacultycount_rank","trialfacultycount_zscore","chaptersweight","patentsweight","trialsweight"
"AAD2023.06.02752","103","96","38","Kansas State University","Chemistry, Department of","Chemistry","13","201.0000","131","171.0000","13","178.0000","10.0800","154.0000","2828","167.0000","13","178.0000","1.0000","1.0000","9","141.0000","23","121.0000","9013184.0000","130.0000","23","100.0000","10","116.0000","1","147.0000","1","125.0000","19","17","5","17","18","0.0800","0.1300","127.0000","61.7000","0.0800","-0.2100","154.0000","53.5000","1.0000","0.7700","1.0000","100.0000","10.0800","-0.0400","144.0000","56.5400","1.0000","0.7300","1.0000","100.0000","217.5400","-0.2100","143.0000","56.8400","21.5900","-0.0700","143.0000","56.8400","0.6900","0.7800","89.0000","73.2500","1.7700","0.6900","81.0000","75.6800","693321.8500","0.0800","109.0000","67.1700","391877.5700","-0.1300","182.0000","44.9800","1.7700","0.2200","78.0000","76.6000","0.7700","1.0800","66.0000","80.2400","-0.1000","113.0000","65.9600","-0.0700","-0.2800","-0.3400","-0.1900","-0.3400","-0.1700","0.3027","-0.2300","-0.4000","-0.3800","-0.3200","-0.1700","-0.4100","-0.5200","65.0500","62.3100","46.2000","57.4500","46.2000","53.5000","100.0000","69.9100","55.6200","49.5400","60.7900","63.5300","48.3300","39.2100","329","4/1/2025 16:37","1","1","1.0000","0.0800","0.0800","168.0000","169.0000","197.0000","216.0000","195.0000","-0.5300","-0.4068","-0.5100","-0.5400","-0.3900","49.2400","48.9400","40.4300","34.6500","41.0300","6","1","38.6000","203.0000","-0.4600","0.0800","31.3100","227.0000","-0.4500","1","43.7700","186.0000","-0.6000","7","45.2900","181.0000","-0.4300","0.5400","45.5900","180.0000","-0.3900","3","48.9400","169.0000","-0.4800","0.0800","34.0400","218.0000","-0.5000","0.2300","44.3800","184.0000","-0.1600","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","105","122","38","Lehigh University","Chemistry, Department of","Chemistry","15","175.0000","132","169.0000","13","178.0000","10.1500","152.0000","2419","178.0000","13","178.0000","1.0000","1.0000","9","141.0000","17","148.0000","7708073.0000","146.0000","12","156.0000","7","155.0000","0","207.0000","0","207.0000","19","17","5","17","18","0.0000","-0.9400","207.0000","37.3900","0.0000","-0.6300","207.0000","37.3900","0.8700","0.1200","210.0000","36.4700","8.8000","-0.2000","158.0000","52.2800","0.8700","0.1100","212.0000","35.8700","161.2700","-0.3700","170.0000","48.6300","18.3300","-0.3300","199.0000","39.8200","0.6000","0.4400","126.0000","62.0100","1.1300","0.0000","143.0000","56.8400","513871.5300","-0.1700","138.0000","58.3600","453416.0600","0.1200","146.0000","55.9300","0.8000","-0.3000","151.0000","54.4100","0.4700","0.0700","152.0000","54.1000","-0.3000","145.0000","56.2300","-0.3300","-0.8700","-0.3400","-0.1900","-0.3400","-0.1600","0.3027","-0.3800","-0.6800","-0.4100","-0.3700","-0.3400","-0.4100","-0.3500","53.1900","37.3900","46.2000","57.4500","46.2000","54.1000","100.0000","52.8900","37.3900","46.2000","55.9300","55.3200","48.9400","47.1100","329","4/1/2025 16:37","5","3","1.6700","0.3300","0.2000","94.0000","139.0000","119.0000","109.0000","67.0000","0.0400","-0.1038","-0.2400","0.0000","0.7100","71.7300","58.0500","64.1300","67.1700","79.9400","6","2","50.4600","164.0000","-0.3300","0.1300","47.1100","175.0000","-0.2400","2","55.9300","146.0000","-0.2900","7","45.2900","181.0000","-0.4300","0.4700","42.2500","191.0000","-0.4300","4","53.1900","155.0000","-0.3300","0.1300","54.7100","150.0000","0.0400","0.2700","50.1500","165.0000","0.0300","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","109","156","38","Louisiana State University","Chemistry, Department of","Chemistry","36","34.0000","300","94.0000","34","34.0000","8.8200","176.0000","5208","113.0000","34","33.0000","1.0000","1.0000","21","55.0000","48","71.0000","21943255.0000","83.0000","61","64.0000","21","62.0000","3","77.0000","2","69.0000","19","17","5","17","18","0.0600","-0.1700","170.0000","48.6300","0.0800","-0.1700","145.0000","56.2300","0.9400","0.5000","132.0000","60.1800","8.3300","-0.2600","168.0000","49.2400","0.9400","0.4700","139.0000","58.0500","144.6700","-0.4200","183.0000","44.6800","17.3600","-0.4100","211.0000","36.1700","0.5800","0.3800","135.0000","59.2700","1.3300","0.2100","122.0000","63.2200","609534.8600","-0.0300","119.0000","64.1300","457151.1500","0.1300","145.0000","56.2300","1.6900","0.1800","80.0000","75.9900","0.5800","0.4600","111.0000","66.5700","-0.2000","124.0000","62.6100","0.8700","0.3100","1.3400","0.9300","1.3500","-0.3300","0.3027","0.2900","0.1600","-0.2000","0.1500","0.5100","0.1200","1.4200","81.4600","79.3300","90.2700","83.5900","89.9700","46.8100","100.0000","80.8500","76.9000","65.9600","75.0800","78.7200","71.7300","89.9700","329","4/1/2025 16:37","12","6","2.0000","0.3300","0.1700","48.0000","105.0000","69.0000","109.0000","98.0000","0.9000","0.0454","0.2500","0.0000","0.4100","85.7100","68.3900","79.3300","67.1700","70.5200","6","5","72.9500","90.0000","0.0500","0.1400","48.3300","171.0000","-0.2200","4","77.8100","74.0000","0.3400","25","70.2100","99.0000","-0.1100","0.6900","53.8000","153.0000","-0.2900","12","83.8900","54.0000","0.8900","0.1100","48.9400","169.0000","-0.1700","0.3300","63.2200","122.0000","0.3900","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","131","320","38","Miami University","Chemistry and Biochemistry, Department of","Chemistry","18","134.0000","227","118.0000","17","130.0000","13.3500","114.0000","4630","122.0000","17","131.0000","1.0000","1.0000","10","130.0000","27","109.0000","14878510.0000","106.0000","17","130.0000","8","142.0000","0","207.0000","0","207.0000","19","17","5","17","18","0.0000","-0.9400","207.0000","37.3900","0.0000","-0.6300","207.0000","37.3900","0.9400","0.5000","132.0000","60.1800","12.6100","0.2700","112.0000","66.2600","0.9400","0.4700","139.0000","58.0500","257.2200","-0.0900","123.0000","62.9200","20.4000","-0.1600","161.0000","51.3700","0.5600","0.2800","151.0000","54.4100","1.5000","0.3900","105.0000","68.3900","826583.8900","0.2700","94.0000","71.7300","551055.9300","0.5100","90.0000","72.9500","0.9400","-0.2300","134.0000","59.5700","0.4400","-0.0100","163.0000","50.7600","0.0000","101.0000","69.6000","-0.2400","-0.8700","-0.0200","-0.1000","-0.0200","0.2500","0.3027","-0.3100","-0.6800","-0.2400","-0.1100","-0.0600","-0.1100","-0.1000","57.1400","37.3900","60.4900","60.7900","60.7900","65.6500","100.0000","60.7900","37.3900","63.2200","68.0900","67.1700","64.4400","59.5700","329","4/1/2025 16:37","0","0","0.0000","0.0000","0.0000","241.0000","241.0000","241.0000","241.0000","241.0000","-0.8100","-0.8591","-0.5800","-0.7100","-1.0800","27.0500","27.0500","27.0500","27.0500","27.0500","6","1","38.6000","203.0000","-0.4600","0.0600","26.7500","242.0000","-0.5300","1","43.7700","186.0000","-0.6000","14","58.0500","139.0000","-0.3000","0.7800","57.1400","142.0000","-0.2300","6","64.4400","118.0000","-0.0200","0.0600","28.5700","236.0000","-0.7000","0.3300","63.2200","122.0000","0.3900","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","137","333","38","Montana State University","Chemistry and Biochemistry, Department of","Chemistry","20","117.0000","269","105.0000","20","104.0000","13.4500","113.0000","5797","107.0000","20","106.0000","1.0000","1.0000","14","95.0000","44","77.0000","20815113.0000","87.0000","27","92.0000","11","107.0000","0","207.0000","0","207.0000","19","17","5","17","18","0.0000","-0.9400","207.0000","37.3900","0.0000","-0.6300","207.0000","37.3900","1.0000","0.7700","1.0000","100.0000","13.4500","0.3800","104.0000","68.6900","1.0000","0.7300","1.0000","100.0000","289.8500","0.0000","107.0000","67.7800","21.5500","-0.0700","144.0000","56.5400","0.7000","0.8100","86.0000","74.1600","2.2000","1.1500","50.0000","85.1100","1040755.6500","0.5600","71.0000","78.7200","473070.7500","0.1900","133.0000","59.8800","1.3500","-0.0100","96.0000","71.1200","0.5500","0.3500","123.0000","62.9200","0.1000","87.0000","73.8600","0.0200","-0.8700","0.2200","0.2800","0.2200","0.2600","0.3027","-0.1700","-0.6800","-0.1500","0.1100","0.4000","0.0300","0.0700","67.7800","37.3900","68.0900","71.4300","68.6900","65.9600","100.0000","72.3400","37.3900","67.7800","73.8600","76.9000","68.3900","64.7400","329","4/1/2025 16:37","1","1","1.0000","0.0500","0.0500","168.0000","169.0000","197.0000","230.0000","225.0000","-0.5300","-0.4068","-0.5100","-0.6000","-0.6400","49.2400","48.9400","40.4300","30.4000","31.9100","6","1","38.6000","203.0000","-0.4600","0.0500","25.5300","246.0000","-0.5500","1","43.7700","186.0000","-0.6000","2","29.1800","234.0000","-0.5100","0.1000","22.8000","255.0000","-0.6800","2","41.3400","194.0000","-0.6300","0.0500","26.4400","243.0000","-0.7500","0.1000","27.3600","240.0000","-0.8500","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","142","349","38","New Mexico Institute of Mining and Technology","Chemistry, Department of","Chemistry","8","283.0000","35","259.0000","6","275.0000","5.8300","235.0000","332","279.0000","7","263.0000","1.0000","1.0000","2","249.0000","3","248.0000","646947.0000","266.0000","2","255.0000","2","237.0000","0","207.0000","0","207.0000","19","17","5","17","18","0.0000","-0.9400","207.0000","37.3900","0.0000","-0.6300","207.0000","37.3900","0.7500","-0.4400","259.0000","21.5800","4.3800","-0.7600","240.0000","27.3600","0.8800","0.1500","206.0000","37.6900","41.5000","-0.7200","268.0000","18.8500","9.4900","-1.0500","292.0000","11.5500","0.2500","-0.8300","241.0000","27.0500","0.3800","-0.8300","240.0000","27.3600","80868.3800","-0.7700","257.0000","22.1900","215649.0000","-0.8500","272.0000","17.6300","0.2500","-0.6000","242.0000","26.7500","0.2500","-0.6600","223.0000","32.5200","-0.8000","221.0000","33.1300","-0.7500","-0.8700","-0.8200","-0.8500","-0.9000","-0.7100","0.3027","-0.5100","-0.6800","-0.5700","-0.6300","-0.7200","-0.7100","-0.9400","28.2700","37.3900","20.3600","24.6200","16.7200","28.8800","100.0000","22.8000","37.3900","15.5000","19.4500","24.9200","21.5800","14.2900","329","4/1/2025 16:37","3","2","1.5000","0.3800","0.2500","122.0000","147.0000","147.0000","100.0000","43.0000","-0.2400","-0.1807","-0.3700","0.0900","1.1500","63.2200","55.6200","55.6200","69.9100","87.2300","6","0","24.0100","251.0000","-0.5800","0.0000","24.0100","251.0000","-0.7300","0","24.0100","251.0000","-0.9100","5","39.8200","199.0000","-0.4600","0.6300","49.8500","166.0000","-0.3300","2","41.3400","194.0000","-0.6300","0.0000","24.0100","251.0000","-1.2300","0.2500","47.4200","174.0000","-0.0500","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","146","368","38","New York University","Chemistry, Department of","Chemistry","27","65.0000","536","56.0000","27","57.0000","19.8500","47.0000","17133","50.0000","27","58.0000","1.0000","1.0000","22","49.0000","66","47.0000","43215534.0000","48.0000","93","46.0000","23","51.0000","2","105.0000","2","69.0000","19","17","5","17","18","0.0700","0.0900","137.0000","58.6600","0.0700","-0.2200","159.0000","51.9800","1.0000","0.7700","1.0000","100.0000","19.8500","1.1800","43.0000","87.2300","1.0000","0.7300","1.0000","100.0000","634.5600","1.0100","41.0000","87.8400","31.9600","0.7700","60.0000","82.0700","0.8100","1.2200","38.0000","88.7500","2.4400","1.4200","38.0000","88.7500","1600575.3300","1.3400","33.0000","90.2700","654780.8200","0.9300","51.0000","84.8000","3.4400","1.1300","35.0000","89.6700","0.8500","1.3600","39.0000","88.4500","0.8000","21.0000","93.9200","1.0400","0.3100","0.7800","1.0200","0.7800","1.0700","0.3027","0.7200","-0.1200","0.7000","0.9200","1.0000","0.8700","0.6600","84.8000","79.3300","82.6700","85.4100","82.9800","86.0200","100.0000","86.3200","68.3900","85.1100","85.7100","86.0200","83.2800","80.5500","329","4/1/2025 16:37","5","4","1.2500","0.1900","0.1500","73.0000","164.0000","119.0000","148.0000","118.0000","0.3300","-0.2938","-0.2400","-0.3200","0.2400","78.1200","50.4600","64.1300","55.3200","64.4400","6","7","79.9400","67.0000","0.3000","0.2600","71.7300","94.0000","0.2200","4","77.8100","74.0000","0.3400","73","88.1500","40.0000","0.7300","2.7000","88.7500","38.0000","1.0400","14","87.5400","42.0000","1.2000","0.1500","59.8800","133.0000","0.1900","0.5200","91.1900","30.0000","1.3700","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","148","414","38","North Carolina State University","Chemistry, Department of","Chemistry","32","42.0000","551","54.0000","32","39.0000","17.2200","70.0000","12658","69.0000","32","39.0000","1.0000","1.0000","24","39.0000","66","47.0000","35392164.0000","59.0000","49","74.0000","22","58.0000","2","105.0000","2","69.0000","19","17","5","17","18","0.0600","-0.0700","155.0000","53.1900","0.0600","-0.2900","173.0000","47.7200","1.0000","0.7700","1.0000","100.0000","17.2200","0.8500","61.0000","81.7600","1.0000","0.7300","1.0000","100.0000","395.5600","0.3100","80.0000","75.9900","22.9700","0.0400","128.0000","61.4000","0.7500","0.9900","65.0000","80.5500","2.0600","1.0100","60.0000","82.0700","1106005.1300","0.6500","65.0000","80.5500","536244.9100","0.4500","99.0000","70.2100","1.5300","0.0900","87.0000","73.8600","0.6900","0.8100","86.0000","74.1600","0.4000","52.0000","84.5000","0.9600","0.3100","1.1800","1.2100","1.1900","0.7400","0.3027","0.1200","-0.1200","0.3600","0.6300","1.0000","0.9100","1.0800","82.6700","79.3300","88.4500","88.4500","88.4500","79.0300","100.0000","77.8100","68.3900","79.3300","82.3700","86.0200","83.8900","87.5400","329","4/1/2025 16:37","13","6","2.1700","0.4100","0.1900","48.0000","101.0000","66.0000","94.0000","81.0000","0.9000","0.1223","0.3100","0.1500","0.5900","85.7100","69.6000","80.2400","71.7300","75.6800","6","8","83.8900","54.0000","0.4200","0.2500","70.2100","99.0000","0.1900","9","95.1400","17.0000","1.9000","46","80.2400","66.0000","0.2600","1.4400","72.3400","92.0000","0.2000","14","87.5400","42.0000","1.2000","0.2800","91.1900","30.0000","1.4600","0.4400","79.9400","67.0000","0.9400","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","148","451","38","North Carolina State University","Textile Engineering, Chemistry and Science, Department of","Chemistry","26","72.0000","290","96.0000","26","66.0000","11.1500","140.0000","4834","117.0000","26","66.0000","1.0000","1.0000","4","215.0000","6","222.0000","1639539.0000","228.0000","10","169.0000","7","155.0000","7","25.0000","4","26.0000","19","17","5","17","18","0.1500","1.2000","36.0000","89.3600","0.2700","0.8600","37.0000","89.0600","1.0000","0.7700","1.0000","100.0000","11.1500","0.0900","131.0000","60.4900","1.0000","0.7300","1.0000","100.0000","185.9200","-0.3000","156.0000","52.8900","16.6700","-0.4700","215.0000","34.9500","0.1500","-1.1800","272.0000","17.6300","0.2300","-0.9800","263.0000","20.3600","63059.1900","-0.7900","265.0000","19.7600","273256.5000","-0.6100","243.0000","26.4400","0.3800","-0.5300","216.0000","34.6500","0.2700","-0.5900","221.0000","33.1300","-0.2000","124.0000","62.6100","-0.3300","1.4800","0.7000","-0.6600","0.7000","-0.0300","0.3027","-0.4000","1.2700","-0.2300","-0.5900","-0.6400","0.0900","0.5800","53.1900","92.4000","80.2400","34.9500","80.2400","57.7500","100.0000","48.9400","92.7100","64.7400","31.0000","32.8300","71.1200","78.4200","329","4/1/2025 16:37","8","4","2.0000","0.3100","0.1500","73.0000","105.0000","92.0000","116.0000","113.0000","0.3300","0.0454","-0.0300","-0.0600","0.2900","78.1200","68.3900","72.3400","65.0500","65.9600","6","14","94.5300","19.0000","1.1800","0.5400","95.7400","15.0000","1.2400","9","95.1400","17.0000","1.9000","16","60.4900","131.0000","-0.2700","0.6200","49.2400","168.0000","-0.3400","10","79.0300","70.0000","0.5900","0.3500","96.9600","11.0000","2.0800","0.3800","71.4300","95.0000","0.6600","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
"AAD2023.06.02752","155","462","38","Oakland University","Chemistry, Department of","Chemistry","16","161.0000","126","175.0000","16","139.0000","7.8800","191.0000","1831","190.0000","16","140.0000","1.0000","1.0000","9","141.0000","16","152.0000","6269387.0000","164.0000","13","148.0000","7","155.0000","0","207.0000","0","207.0000","19","17","5","17","18","0.0000","-0.9400","207.0000","37.3900","0.0000","-0.6300","207.0000","37.3900","1.0000","0.7700","1.0000","100.0000","7.8800","-0.3200","178.0000","46.2000","1.0000","0.7300","1.0000","100.0000","114.4400","-0.5100","199.0000","39.8200","14.5300","-0.6400","246.0000","25.5300","0.5600","0.3100","147.0000","55.6200","1.0000","-0.1500","155.0000","53.1900","391836.6900","-0.3400","169.0000","48.9400","391836.6900","-0.1300","183.0000","44.6800","0.8100","-0.3000","150.0000","54.7100","0.4400","-0.0300","164.0000","50.4600","-0.4000","159.0000","51.9800","-0.3300","-0.8700","-0.1000","-0.1900","-0.1000","-0.4500","0.3027","-0.3600","-0.6800","-0.4500","-0.4200","-0.3600","-0.4200","-0.2700","53.1900","37.3900","57.7500","57.4500","58.0500","42.2500","100.0000","55.3200","37.3900","42.5500","50.4600","54.1000","47.1100","51.3700","329","4/1/2025 16:37","6","1","6.0000","0.3800","0.0600","168.0000","11.0000","110.0000","100.0000","209.0000","-0.5300","1.8544","-0.1700","0.0900","-0.5200","49.2400","96.9600","66.8700","69.9100","36.7800","6","2","50.4600","164.0000","-0.3300","0.1300","45.5900","180.0000","-0.2700","1","43.7700","186.0000","-0.6000","7","45.2900","181.0000","-0.4300","0.4400","40.4300","197.0000","-0.4500","2","41.3400","194.0000","-0.6300","0.0600","29.7900","232.0000","-0.6300","0.1300","31.3100","227.0000","-0.7200","0.0000","97.8700","8.0000","-0.1400","0","97.8700","8.0000","-0.1400","0.0000","97.8700","8.0000","-0.1300","0","97.8700","8.0000","-0.1500","7","11","0"
