"releasename","institutionid","unitid","comparisongroupid","institutionname","unitname","comparisongroupname","facultycount","facultycount_rank","articlecount","articlecount_rank","articlefacultycount","articlefacultycount_rank","articlecountperauthor","articlecountperauthor_rank","citationcount","citationcount_rank","citationfacultycount","citationfacultycount_rank","pctofauthorwithcitation","pctofauthorwithcitation_rank","grantfacultycount","grantfacultycount_rank","grantcount","grantcount_rank","grantdollars","grantdollars_rank","awardcount","awardcount_rank","awardfacultycount","awardfacultycount_rank","bookcount","bookcount_rank","bookfacultycount","bookfacultycount_rank","awardsweight","grantsweight","booksweight","citationsweight","articlesweight","pctoffacwithbook","pctoffacwithbook_zscore","pctoffacwithbook_rank","pctoffacwithbook_pct","bookcountperfaculty","bookcountperfaculty_zscore","bookcountperfaculty_rank","bookcountperfaculty_pct","pctoffacwitharticle","pctoffacwitharticle_zscore","pctoffacwitharticle_rank","pctoffacwitharticle_pct","articlecountperfaculty","articlecountperfaculty_zscore","articlecountperfaculty_rank","articlecountperfaculty_pct","pctoffacwithcitation","pctoffacwithcitation_zscore","pctoffacwithcitation_rank","pctoffacwithcitation_pct","citationcountperfaculty","citationcountperfaculty_zscore","citationcountperfaculty_rank","citationcountperfaculty_pct","citationcountperarticle","citationcountperarticle_zscore","citationcountperarticle_rank","citationcountperarticle_pct","pctoffacwithgrant","pctoffacwithgrant_zscore","pctoffacwithgrant_rank","pctoffacwithgrant_pct","grantcountperfaculty","grantcountperfaculty_zscore","grantcountperfaculty_rank","grantcountperfaculty_pct","grantdollarsperfaculty","grantdollarsperfaculty_zscore","grantdollarsperfaculty_rank","grantdollarsperfaculty_pct","dollarspergrant","dollarspergrant_zscore","dollarspergrant_rank","dollarspergrant_pct","awardcountperfaculty","awardcountperfaculty_zscore","awardcountperfaculty_rank","awardcountperfaculty_pct","pctoffacwithaward","pctoffacwithaward_zscore","pctoffacwithaward_rank","pctoffacwithaward_pct","sri","sri_rank","sri_pct","awardfacultycount_zscore","bookfacultycount_zscore","citationfacultycount_zscore","grantfacultycount_zscore","articlefacultycount_zscore","articlecountperauthor_zscore","pctofauthorwithcitation_zscore","awardcount_zscore","bookcount_zscore","citationcount_zscore","grantdollars_zscore","grantcount_zscore","articlecount_zscore","facultycount_zscore","awardfacultycount_pct","bookfacultycount_pct","citationfacultycount_pct","grantfacultycount_pct","articlefacultycount_pct","articlecountperauthor_pct","pctofauthorwithcitation_pct","awardcount_pct","bookcount_pct","citationcount_pct","grantdollars_pct","grantcount_pct","articlecount_pct","facultycount_pct","unitsincomparisongroup","createddate","confproccount","confprocfacultycount","confproccountperauthor","confproccountperfaculty","pctoffacwithconfproc","confprocfacultycount_rank","confproccountperauthor_rank","confproccount_rank","confproccountperfaculty_rank","pctoffacwithconfproc_rank","confprocfacultycount_zscore","confproccountperauthor_zscore","confproccount_zscore","confproccountperfaculty_zscore","pctoffacwithconfproc_zscore","confprocfacultycount_pct","confproccountperauthor_pct","confproccount_pct","confproccountperfaculty_pct","pctoffacwithconfproc_pct","confprocweight","chaptercount","chaptercount_pct","chaptercount_rank","chaptercount_zscore","chaptercountperfaculty","chaptercountperfaculty_pct","chaptercountperfaculty_rank","chaptercountperfaculty_zscore","chapterfacultycount","chapterfacultycount_pct","chapterfacultycount_rank","chapterfacultycount_zscore","patentcount","patentcount_pct","patentcount_rank","patentcount_zscore","patentcountperfaculty","patentcountperfaculty_pct","patentcountperfaculty_rank","patentcountperfaculty_zscore","patentfacultycount","patentfacultycount_pct","patentfacultycount_rank","patentfacultycount_zscore","pctoffacwithchapter","pctoffacwithchapter_pct","pctoffacwithchapter_rank","pctoffacwithchapter_zscore","pctoffacwithpatent","pctoffacwithpatent_pct","pctoffacwithpatent_rank","pctoffacwithpatent_zscore","pctoffacwithtrial","pctoffacwithtrial_pct","pctoffacwithtrial_rank","pctoffacwithtrial_zscore","trialcount","trialcount_pct","trialcount_rank","trialcount_zscore","trialcountperfaculty","trialcountperfaculty_pct","trialcountperfaculty_rank","trialcountperfaculty_zscore","trialfacultycount","trialfacultycount_pct","trialfacultycount_rank","trialfacultycount_zscore","chaptersweight","patentsweight","trialsweight"
"AAD2023.12.02810","103","113","161","Kansas State University","Statistics, Department of","Statistics","9","135.0000","93","102.0000","9","129.0000","10.3300","45.0000","1172","97.0000","9","127.0000","1.0000","1.0000","0","139.0000","0","139.0000","0.0000","139.0000","1","137.0000","1","131.0000","1","102.0000","1","98.0000","19","22","5","20","18","0.1100","-0.2000","84.0000","47.4700","0.1100","-0.4700","94.0000","41.1400","1.0000","0.9100","1.0000","100.0000","10.3300","0.6900","40.0000","75.3200","1.0000","0.9000","1.0000","100.0000","130.2200","-0.0900","55.0000","65.8200","12.6000","-0.1600","69.0000","56.9600","0.0000","-1.2900","139.0000","12.6600","0.0000","-1.0300","139.0000","12.6600","0.0000","-0.7600","139.0000","12.6600","0.0000","-1.0600","139.0000","12.6600","0.1100","-0.7300","136.0000","14.5600","0.1100","-1.0100","130.0000","18.3500","0.1000","59.0000","63.2900","-0.9400","-0.6700","-0.8300","-0.9900","-0.8600","0.5300","0.5749","-0.7300","-0.6300","-0.4100","-0.7200","-0.8700","-0.5400","-1.0200","17.7200","38.6100","20.2500","12.6600","18.9900","72.1500","100.0000","13.9200","36.0800","39.2400","12.6600","12.6600","36.0800","15.1900","158","10/21/2025 13:27","0","0","0.0000","0.0000","0.0000","139.0000","139.0000","139.0000","139.0000","139.0000","-1.0300","-1.1981","-0.6700","-0.7600","-1.3300","12.6600","12.6600","12.6600","12.6600","12.6600","11","2","57.5900","68.0000","-0.2800","0.2200","80.3800","32.0000","0.6900","2","62.0300","61.0000","-0.1900","0","69.6200","49.0000","-0.3500","0.0000","69.6200","49.0000","-0.3800","0","69.6200","49.0000","-0.5000","0.2200","86.0800","23.0000","1.1700","0.0000","69.6200","49.0000","-0.5200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","137","340","161","Montana State University","Mathematical Sciences, Department of","Statistics","30","23.0000","156","62.0000","28","20.0000","5.5700","120.0000","1421","88.0000","26","29.0000","0.9300","126.0000","11","36.0000","17","47.0000","4942848.0000","44.0000","13","72.0000","10","43.0000","3","71.0000","4","39.0000","19","22","5","20","18","0.1300","0.0100","70.0000","56.3300","0.1000","-0.5200","102.0000","36.0800","0.9300","0.4200","69.0000","56.9600","5.2000","-0.5900","109.0000","31.6500","0.8700","0.0000","92.0000","42.4100","47.3700","-0.4900","108.0000","32.2800","9.1100","-0.2700","102.0000","36.0800","0.3700","0.2700","60.0000","62.6600","0.5700","-0.0600","66.0000","58.8600","164761.6000","-0.0600","62.0000","61.3900","290755.7600","0.2100","51.0000","68.3500","0.4300","-0.4200","91.0000","43.0400","0.3300","-0.0600","67.0000","58.2300","-0.3000","99.0000","37.9700","0.3000","0.3200","0.7200","0.5500","0.8900","-0.7200","-0.3292","-0.2600","-0.3300","-0.3600","0.1500","0.1800","-0.0300","0.8200","73.4200","75.9500","82.2800","77.8500","87.9700","24.6800","20.8900","55.0600","55.7000","44.9400","72.7800","70.8900","61.3900","86.0800","158","10/21/2025 13:27","16","4","4.0000","0.5300","0.1300","70.0000","17.0000","38.0000","59.0000","100.0000","-0.1700","1.0833","0.1400","-0.0800","-0.5200","56.3300","89.8700","76.5800","63.2900","37.3400","11","3","68.3500","51.0000","-0.0300","0.1000","44.3000","89.0000","-0.3000","3","72.1500","45.0000","0.1900","2","87.9700","20.0000","0.0800","0.0700","79.1100","34.0000","0.0600","1","87.3400","21.0000","0.3800","0.1000","50.0000","80.0000","-0.1600","0.0300","74.0500","42.0000","0.2200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","148","444","161","North Carolina State University","Statistics, Department of","Statistics","30","23.0000","389","7.0000","28","20.0000","13.8900","16.0000","8182","16.0000","29","17.0000","1.0000","1.0000","16","18.0000","31","25.0000","8512410.0000","25.0000","47","16.0000","20","12.0000","8","28.0000","6","20.0000","19","22","5","20","18","0.2000","0.6600","34.0000","79.1100","0.2700","0.2400","49.0000","69.6200","0.9300","0.4200","69.0000","56.9600","12.9700","1.3500","15.0000","91.1400","0.9700","0.6700","48.0000","70.2500","272.7300","0.6000","21.0000","87.3400","21.0300","0.1000","27.0000","83.5400","0.5300","0.9800","32.0000","80.3800","1.0300","0.7400","35.0000","78.4800","283747.0000","0.4500","30.0000","81.6500","274593.8700","0.1400","55.0000","65.8200","1.5700","0.6900","23.0000","86.0800","0.6700","1.3600","17.0000","89.8700","0.6000","21.0000","87.3400","1.6800","0.9900","0.9900","1.2500","0.8900","1.4700","0.5749","1.0800","0.4400","1.0100","0.7800","1.0300","1.8500","0.8200","93.0400","87.9700","89.8700","89.2400","87.9700","90.5100","100.0000","90.5100","82.9100","90.5100","84.8100","84.8100","96.2000","86.0800","158","10/21/2025 13:27","13","7","1.8600","0.4300","0.2300","36.0000","74.0000","54.0000","68.0000","66.0000","0.4700","-0.1372","-0.0100","-0.2100","0.0800","77.8500","53.8000","66.4600","57.5900","58.8600","11","7","89.8700","17.0000","0.9500","0.2300","84.8100","25.0000","0.7800","6","92.4100","13.0000","1.3300","0","69.6200","49.0000","-0.3500","0.0000","69.6200","49.0000","-0.3800","0","69.6200","49.0000","-0.5000","0.2000","81.6500","30.0000","0.9300","0.0000","69.6200","49.0000","-0.5200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","155","470","161","Oakland University","Mathematics and Statistics, Department of","Statistics","27","35.0000","135","76.0000","22","43.0000","6.1400","109.0000","929","100.0000","20","51.0000","0.8700","139.0000","3","92.0000","3","109.0000","446022.0000","118.0000","3","116.0000","1","131.0000","6","44.0000","3","55.0000","19","22","5","20","18","0.1100","-0.2000","84.0000","47.4700","0.2200","0.0400","59.0000","63.2900","0.8100","-0.4500","118.0000","25.9500","5.0000","-0.6400","111.0000","30.3800","0.7400","-0.8400","133.0000","16.4600","34.4100","-0.5500","122.0000","23.4200","6.8800","-0.3400","119.0000","25.3200","0.1100","-0.8200","120.0000","24.6800","0.1100","-0.8400","130.0000","18.3500","16519.3300","-0.6900","127.0000","20.2500","148674.0000","-0.4100","98.0000","38.6100","0.1100","-0.7300","136.0000","14.5600","0.0400","-1.3300","147.0000","7.5900","-0.6000","125.0000","21.5200","-0.9400","-0.0100","0.1700","-0.5700","0.3400","-0.5700","-1.0761","-0.6500","0.1300","-0.4600","-0.6400","-0.6800","-0.2000","0.5600","17.7200","65.8200","68.3500","42.4100","73.4200","31.6500","12.6600","27.2200","72.7800","37.3400","25.9500","31.6500","52.5300","78.4800","158","10/21/2025 13:27","11","5","2.2000","0.4100","0.1900","50.0000","53.0000","60.0000","72.0000","82.0000","0.0400","0.0567","-0.1100","-0.2400","-0.2100","68.9900","67.0900","62.6600","55.0600","48.7300","11","4","77.2200","37.0000","0.2100","0.1500","58.2300","67.0000","0.0900","3","72.1500","45.0000","0.1900","0","69.6200","49.0000","-0.3500","0.0000","69.6200","49.0000","-0.3800","0","69.6200","49.0000","-0.5000","0.1100","53.8000","74.0000","-0.0400","0.0000","69.6200","49.0000","-0.5200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","158","525","161","Oklahoma State University","Statistics, Department of","Statistics","7","144.0000","53","130.0000","7","137.0000","7.5700","82.0000","638","115.0000","7","136.0000","1.0000","1.0000","0","139.0000","0","139.0000","0.0000","139.0000","0","148.0000","0","148.0000","1","102.0000","1","98.0000","19","22","5","20","18","0.1400","0.1100","64.0000","60.1300","0.1400","-0.3200","84.0000","47.4700","1.0000","0.9100","1.0000","100.0000","7.5700","0.0000","72.0000","55.0600","1.0000","0.9000","1.0000","100.0000","91.1400","-0.2800","67.0000","58.2300","12.0400","-0.1800","76.0000","52.5300","0.0000","-1.2900","139.0000","12.6600","0.0000","-1.0300","139.0000","12.6600","0.0000","-0.7600","139.0000","12.6600","0.0000","-1.0600","139.0000","12.6600","0.0000","-0.8400","148.0000","6.9600","0.0000","-1.4800","148.0000","6.9600","-0.1000","77.0000","51.9000","-1.0700","-0.6700","-1.0100","-0.9900","-1.0400","-0.1900","0.5749","-0.7700","-0.6300","-0.5200","-0.7200","-0.8700","-0.8700","-1.1900","6.9600","38.6100","14.5600","12.6600","13.9200","48.7300","100.0000","6.9600","36.0800","27.8500","12.6600","12.6600","18.3500","9.4900","158","10/21/2025 13:27","1","1","1.0000","0.1400","0.1400","118.0000","106.0000","120.0000","114.0000","96.0000","-0.8200","-0.6277","-0.6200","-0.5800","-0.4600","25.9500","33.5400","24.6800","28.4800","39.8700","11","0","22.1500","124.0000","-0.7700","0.0000","22.1500","124.0000","-1.1100","0","22.1500","124.0000","-0.9500","0","69.6200","49.0000","-0.3500","0.0000","69.6200","49.0000","-0.3800","0","69.6200","49.0000","-0.5000","0.0000","22.1500","124.0000","-1.2400","0.0000","69.6200","49.0000","-0.5200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","15","563","161","Auburn University","Mathematics and Statistics, Department of","Statistics","42","10.0000","339","13.0000","37","8.0000","9.1600","60.0000","1782","69.0000","36","9.0000","0.9500","108.0000","13","28.0000","22","38.0000","2714145.0000","62.0000","22","42.0000","13","30.0000","8","28.0000","5","28.0000","19","22","5","20","18","0.1200","-0.1200","80.0000","50.0000","0.1900","-0.1100","68.0000","57.5900","0.8800","0.0400","98.0000","38.6100","8.0700","0.1200","67.0000","58.2300","0.8600","-0.0600","99.0000","37.9700","42.4300","-0.5100","114.0000","28.4800","5.2600","-0.3900","138.0000","13.2900","0.3100","0.0300","67.0000","58.2300","0.5200","-0.1300","71.0000","55.7000","64622.5000","-0.4900","89.0000","44.3000","123370.2300","-0.5200","116.0000","27.2200","0.5200","-0.3300","84.0000","47.4700","0.3100","-0.1600","81.0000","49.3700","-0.1000","77.0000","51.9000","0.7100","0.6600","1.6300","0.8300","1.7200","0.2200","-0.0913","0.1000","0.4400","-0.2800","-0.2400","0.4800","1.4500","1.8700","81.6500","82.9100","94.9400","82.9100","95.5700","62.6600","32.2800","74.0500","82.9100","56.9600","61.3900","76.5800","92.4100","94.3000","158","10/21/2025 13:27","16","7","2.2900","0.3800","0.1700","36.0000","52.0000","38.0000","79.0000","89.0000","0.4700","0.1080","0.1400","-0.2800","-0.3200","77.8500","67.7200","76.5800","50.6300","44.3000","11","6","87.3400","21.0000","0.7100","0.1400","57.5900","68.0000","0.0500","5","89.2400","18.0000","0.9500","0","69.6200","49.0000","-0.3500","0.0000","69.6200","49.0000","-0.3800","0","69.6200","49.0000","-0.5000","0.1200","55.7000","71.0000","0.0500","0.0000","69.6200","49.0000","-0.5200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","161","611","161","Oregon State University","Statistics, Department of","Statistics","17","88.0000","155","63.0000","16","75.0000","9.6900","53.0000","2449","55.0000","15","80.0000","0.9400","115.0000","3","92.0000","5","91.0000","3135834.0000","58.0000","7","90.0000","5","82.0000","1","102.0000","1","98.0000","19","22","5","20","18","0.0600","-0.7100","115.0000","27.8500","0.0600","-0.7000","117.0000","26.5800","0.9400","0.4800","65.0000","59.4900","9.1200","0.3800","54.0000","66.4600","0.8800","0.1100","87.0000","45.5700","144.0600","-0.0200","52.0000","67.7200","15.8000","-0.0600","48.0000","70.2500","0.1800","-0.5400","98.0000","38.6100","0.2900","-0.5300","93.0000","41.7700","184460.8200","0.0300","55.0000","65.8200","627166.8000","1.6700","7.0000","96.2000","0.4100","-0.4400","96.0000","39.8700","0.2900","-0.2300","87.0000","45.5700","0.1000","59.0000","63.2900","-0.3900","-0.6700","-0.2800","-0.5700","-0.2100","0.3600","-0.2162","-0.4900","-0.6300","-0.1500","-0.1700","-0.5600","-0.0400","-0.3200","48.7300","38.6100","50.0000","42.4100","53.1600","67.0900","27.8500","43.6700","36.0800","65.8200","63.9200","43.0400","60.7600","44.9400","158","10/21/2025 13:27","3","2","1.5000","0.1800","0.1200","101.0000","88.0000","107.0000","110.0000","108.0000","-0.6000","-0.3425","-0.5200","-0.5400","-0.6200","36.7100","44.9400","32.9100","31.0100","32.2800","11","1","40.5100","95.0000","-0.5300","0.0600","32.2800","108.0000","-0.6300","2","62.0300","61.0000","-0.1900","0","69.6200","49.0000","-0.3500","0.0000","69.6200","49.0000","-0.3800","0","69.6200","49.0000","-0.5000","0.1200","55.0600","72.0000","0.0400","0.0000","69.6200","49.0000","-0.5200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","163","685","161","Pennsylvania State University - University Park","Statistics, Department of","Statistics","30","23.0000","333","15.0000","29","18.0000","11.4800","27.0000","4790","29.0000","29","17.0000","1.0000","1.0000","14","25.0000","25","32.0000","8033538.0000","28.0000","36","29.0000","15","22.0000","6","44.0000","3","55.0000","19","22","5","20","18","0.1000","-0.3100","95.0000","40.5100","0.2000","-0.0600","64.0000","60.1300","0.9700","0.6600","47.0000","70.8900","11.1000","0.8800","28.0000","82.9100","0.9700","0.6700","48.0000","70.2500","159.6700","0.0500","41.0000","74.6800","14.3800","-0.1100","56.0000","65.1900","0.4700","0.6900","43.0000","73.4200","0.8300","0.4000","44.0000","72.7800","267784.6000","0.3800","35.0000","78.4800","321341.5200","0.3400","37.0000","77.2200","1.2000","0.3300","40.0000","75.3200","0.5000","0.6500","41.0000","74.6800","0.5000","33.0000","79.7500","0.9900","-0.0100","0.9900","0.9700","0.9900","0.8300","0.5749","0.6400","0.1300","0.3300","0.7000","0.6700","1.4000","0.8200","86.7100","65.8200","89.8700","84.8100","89.2400","83.5400","100.0000","82.2800","72.7800","82.2800","82.9100","80.3800","91.1400","86.0800","158","10/21/2025 13:27","12","9","1.3300","0.4000","0.3000","21.0000","93.0000","57.0000","74.0000","45.0000","0.9000","-0.4395","-0.0600","-0.2500","0.4900","87.3400","41.7700","64.5600","53.8000","72.1500","11","8","93.6700","11.0000","1.2000","0.2700","89.2400","18.0000","1.0500","8","98.1000","4.0000","2.0900","15","96.8400","6.0000","2.8500","0.5000","98.1000","4.0000","2.8800","1","87.3400","21.0000","0.3800","0.2700","96.2000","7.0000","1.6500","0.0300","74.0500","42.0000","0.2200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","165","719","161","Portland State University","Mathematics and Statistics, Department of","Statistics","27","35.0000","135","76.0000","23","38.0000","5.8700","112.0000","1394","91.0000","23","38.0000","1.0000","1.0000","9","45.0000","16","49.0000","5408347.0000","41.0000","7","90.0000","5","82.0000","2","85.0000","2","74.0000","19","22","5","20","18","0.0700","-0.5600","109.0000","31.6500","0.0700","-0.6300","110.0000","31.0100","0.8500","-0.1700","106.0000","33.5400","5.0000","-0.6400","111.0000","30.3800","0.8500","-0.1000","104.0000","34.8100","51.6300","-0.4700","106.0000","33.5400","10.3300","-0.2300","89.0000","44.3000","0.3300","0.1300","65.0000","59.4900","0.5900","-0.0200","60.0000","62.6600","200309.1500","0.1000","49.0000","69.6200","338021.6900","0.4100","35.0000","78.4800","0.2600","-0.5900","108.0000","32.2800","0.1900","-0.6900","115.0000","27.8500","-0.3000","99.0000","37.9700","-0.3900","-0.3400","0.4500","0.2700","0.4300","-0.6400","0.5749","-0.4900","-0.4800","-0.3600","0.2300","0.1100","-0.2000","0.5600","48.7300","53.8000","76.5800","72.1500","76.5800","29.7500","100.0000","43.6700","46.8400","43.0400","74.6800","69.6200","52.5300","78.4800","158","10/21/2025 13:27","16","6","2.6700","0.5900","0.2200","42.0000","45.0000","38.0000","54.0000","68.0000","0.2600","0.3248","0.1400","0.0000","0.0200","74.0500","72.1500","76.5800","66.4600","57.5900","11","6","87.3400","21.0000","0.7100","0.2200","80.3800","32.0000","0.6900","2","62.0300","61.0000","-0.1900","0","69.6200","49.0000","-0.3500","0.0000","69.6200","49.0000","-0.3800","0","69.6200","49.0000","-0.5000","0.0700","37.9700","99.0000","-0.4400","0.0000","69.6200","49.0000","-0.5200","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
"AAD2023.12.02810","172","806","161","Rice University","Statistics, Department of","Statistics","15","104.0000","212","47.0000","15","86.0000","14.1300","14.0000","3810","39.0000","15","80.0000","1.0000","1.0000","12","30.0000","32","23.0000","10139198.0000","19.0000","40","24.0000","11","38.0000","8","28.0000","5","28.0000","19","22","5","20","18","0.3300","1.9500","6.0000","96.8400","0.5300","1.4400","11.0000","93.6700","1.0000","0.9100","1.0000","100.0000","14.1300","1.6400","13.0000","92.4100","1.0000","0.9000","1.0000","100.0000","254.0000","0.5100","24.0000","85.4400","17.9700","0.0000","37.0000","77.2200","0.8000","2.1100","5.0000","97.4700","2.1300","2.6200","4.0000","98.1000","675946.5300","2.1300","7.0000","96.2000","316849.9400","0.3200","40.0000","75.3200","2.6700","1.7600","9.0000","94.9400","0.7300","1.6500","13.0000","92.4100","1.2000","4.0000","98.1000","0.4400","0.6600","-0.2800","0.6900","-0.3000","1.5300","0.5749","0.8000","0.4400","0.1300","1.0700","1.1000","0.4200","-0.4900","76.5800","82.9100","50.0000","81.6500","46.2000","91.7700","100.0000","85.4400","82.9100","75.9500","88.6100","86.0800","70.8900","34.8100","158","10/21/2025 13:27","89","9","9.8900","5.9300","0.6000","21.0000","1.0000","3.0000","1.0000","4.0000","0.9000","4.4427","3.8400","6.8200","2.3000","87.3400","100.0000","98.7300","100.0000","98.1000","11","3","68.3500","51.0000","-0.0300","0.2000","75.9500","39.0000","0.5100","2","62.0300","61.0000","-0.1900","2","87.9700","20.0000","0.0800","0.1300","87.9700","20.0000","0.4900","2","93.6700","11.0000","1.2500","0.1300","58.8600","66.0000","0.2000","0.1300","96.2000","7.0000","2.4600","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1500","0.0000","96.2000","7.0000","-0.1800","0","96.2000","7.0000","-0.1700","5","0","0"
