releasename,institutionid,unitid,comparisongroupid,institutionname,unitname,comparisongroupname,facultycount,facultycount_rank,articlecount,articlecount_rank,articlefacultycount,articlefacultycount_rank,articlecountperauthor,articlecountperauthor_rank,citationcount,citationcount_rank,citationfacultycount,citationfacultycount_rank,pctofauthorwithcitation,pctofauthorwithcitation_rank,grantfacultycount,grantfacultycount_rank,grantcount,grantcount_rank,grantdollars,grantdollars_rank,awardcount,awardcount_rank,awardfacultycount,awardfacultycount_rank,bookcount,bookcount_rank,bookfacultycount,bookfacultycount_rank,awardsweight,grantsweight,booksweight,citationsweight,articlesweight,pctoffacwithbook,pctoffacwithbook_zscore,pctoffacwithbook_rank,pctoffacwithbook_pct,bookcountperfaculty,bookcountperfaculty_zscore,bookcountperfaculty_rank,bookcountperfaculty_pct,pctoffacwitharticle,pctoffacwitharticle_zscore,pctoffacwitharticle_rank,pctoffacwitharticle_pct,articlecountperfaculty,articlecountperfaculty_zscore,articlecountperfaculty_rank,articlecountperfaculty_pct,pctoffacwithcitation,pctoffacwithcitation_zscore,pctoffacwithcitation_rank,pctoffacwithcitation_pct,citationcountperfaculty,citationcountperfaculty_zscore,citationcountperfaculty_rank,citationcountperfaculty_pct,citationcountperarticle,citationcountperarticle_zscore,citationcountperarticle_rank,citationcountperarticle_pct,pctoffacwithgrant,pctoffacwithgrant_zscore,pctoffacwithgrant_rank,pctoffacwithgrant_pct,grantcountperfaculty,grantcountperfaculty_zscore,grantcountperfaculty_rank,grantcountperfaculty_pct,grantdollarsperfaculty,grantdollarsperfaculty_zscore,grantdollarsperfaculty_rank,grantdollarsperfaculty_pct,dollarspergrant,dollarspergrant_zscore,dollarspergrant_rank,dollarspergrant_pct,awardcountperfaculty,awardcountperfaculty_zscore,awardcountperfaculty_rank,awardcountperfaculty_pct,pctoffacwithaward,pctoffacwithaward_zscore,pctoffacwithaward_rank,pctoffacwithaward_pct,sri,sri_rank,sri_pct,awardfacultycount_zscore,bookfacultycount_zscore,citationfacultycount_zscore,grantfacultycount_zscore,articlefacultycount_zscore,articlecountperauthor_zscore,pctofauthorwithcitation_zscore,awardcount_zscore,bookcount_zscore,citationcount_zscore,grantdollars_zscore,grantcount_zscore,articlecount_zscore,facultycount_zscore,awardfacultycount_pct,bookfacultycount_pct,citationfacultycount_pct,grantfacultycount_pct,articlefacultycount_pct,articlecountperauthor_pct,pctofauthorwithcitation_pct,awardcount_pct,bookcount_pct,citationcount_pct,grantdollars_pct,grantcount_pct,articlecount_pct,facultycount_pct,unitsincomparisongroup,createddate,confproccount,confprocfacultycount,confproccountperauthor,confproccountperfaculty,pctoffacwithconfproc,confprocfacultycount_rank,confproccountperauthor_rank,confproccount_rank,confproccountperfaculty_rank,pctoffacwithconfproc_rank,confprocfacultycount_zscore,confproccountperauthor_zscore,confproccount_zscore,confproccountperfaculty_zscore,pctoffacwithconfproc_zscore,confprocfacultycount_pct,confproccountperauthor_pct,confproccount_pct,confproccountperfaculty_pct,pctoffacwithconfproc_pct,confprocweight,chaptercount,chaptercount_pct,chaptercount_rank,chaptercount_zscore,chaptercountperfaculty,chaptercountperfaculty_pct,chaptercountperfaculty_rank,chaptercountperfaculty_zscore,chapterfacultycount,chapterfacultycount_pct,chapterfacultycount_rank,chapterfacultycount_zscore,patentcount,patentcount_pct,patentcount_rank,patentcount_zscore,patentcountperfaculty,patentcountperfaculty_pct,patentcountperfaculty_rank,patentcountperfaculty_zscore,patentfacultycount,patentfacultycount_pct,patentfacultycount_rank,patentfacultycount_zscore,pctoffacwithchapter,pctoffacwithchapter_pct,pctoffacwithchapter_rank,pctoffacwithchapter_zscore,pctoffacwithpatent,pctoffacwithpatent_pct,pctoffacwithpatent_rank,pctoffacwithpatent_zscore,pctoffacwithtrial,pctoffacwithtrial_pct,pctoffacwithtrial_rank,pctoffacwithtrial_zscore,trialcount,trialcount_pct,trialcount_rank,trialcount_zscore,trialcountperfaculty,trialcountperfaculty_pct,trialcountperfaculty_rank,trialcountperfaculty_zscore,trialfacultycount,trialfacultycount_pct,trialfacultycount_rank,trialfacultycount_zscore,chaptersweight,patentsweight,trialsweight
AAD2023.09.02768,131,321,61,Miami University,"Educational Leadership, Department of",Educational Leadership and Administration,9,107,51,72,8,85,6.38,40,292,87,7,88,0.88,106,1,39,1,44,292686,57,6,71,3,78,14,45,8,26,17,14,0,27,22,0.89,2.59,2,99.38,1.56,0.75,16,90.63,0.89,0.58,52,68.13,5.67,0.64,37,77.5,0.78,0.25,88,45.63,32.44,-0.06,76,53.13,5.73,-0.34,99,38.75,0.11,0.45,40,75.63,0.11,0.13,46,71.88,32520.67,-0.18,52,68.13,292686,-0.01,52,68.13,0.67,0.02,54,66.88,0.33,-0.02,71,56.25,0.1,63,61.25,-0.38,0.68,-0.44,-0.03,-0.38,0.58,-0.0348,-0.3,0.15,-0.34,-0.27,-0.18,-0.16,-0.58,51.88,84.38,45.63,76.25,47.5,75.63,34.38,56.25,72.5,46.25,65,73.13,55.63,33.75,160,7/7/25 11:42,4,3,1.33,0.44,0.33,73,106,93,78,54,-0.28,-0.4358,-0.47,-0.26,0.31,55,34.38,42.5,51.88,66.88,9,10,56.25,71,-0.2,1.11,68.75,51,0.48,6,66.25,55,0.01,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.67,91.25,15,1.29,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,146,363,61,New York University,"Administration, Leadership and Technology, Department of",Educational Leadership and Administration,13,68,85,38,11,58,7.73,18,1578,12,12,49,1,1,4,8,12,4,5710096,7,12,43,5,53,13,50,5,56,17,14,0,27,22,0.38,0.17,60,63.13,1,0.17,49,70,0.85,0.38,71,56.25,6.54,0.97,26,84.38,0.92,0.83,25,85,121.38,2,3,98.75,18.56,2.64,3,98.75,0.31,2.44,5,97.5,0.92,5.52,1,100,439238.15,4.43,1,100,475841.33,0.15,31,81.25,0.92,0.45,39,76.25,0.38,0.21,56,65.63,0.9,3,98.75,-0.03,0,0.16,1.68,-0.02,1.11,0.6242,0.08,0.08,1.17,2.12,3.26,0.35,-0.13,67.5,65.63,70,95.63,64.38,89.38,100,73.75,69.38,93.13,96.25,98.13,76.88,58.13,160,7/7/25 11:42,41,9,4.56,3.15,0.69,15,3,3,1,2,1.37,2.4372,3.3,4.91,2.3,91.25,98.75,98.75,100,99.38,9,18,79.37,34,0.44,1.38,82.5,29,0.95,9,81.87,30,0.61,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.69,94.38,10,1.41,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,155,466,61,Oakland University,"Organizational Leadership, Department of",Educational Leadership and Administration,11,87,12,136,4,136,3,122,26,136,4,130,1,1,0,74,0,74,0,74,6,71,3,78,12,55,4,74,17,14,0,27,22,0.36,0.06,75,53.75,1.09,0.26,45,72.5,0.36,-1.78,150,6.88,1.09,-1.12,141,12.5,0.36,-1.42,143,11.25,2.36,-0.76,141,12.5,2.17,-1.17,141,12.5,0,-0.67,74,54.38,0,-0.6,74,54.38,0,-0.55,74,54.38,0,-0.28,74,54.38,0.55,-0.18,71,56.25,0.27,-0.28,91,43.75,-0.9,136,15.63,-0.38,-0.23,-0.8,-0.6,-0.85,-0.76,0.6242,-0.3,0,-0.65,-0.4,-0.49,-0.76,-0.36,51.88,54.38,19.38,54.38,15.63,24.38,100,56.25,66.25,15.63,54.38,54.38,15.63,46.25,160,7/7/25 11:42,1,1,1,0.09,0.09,114,120,128,140,136,-0.84,-0.7294,-0.78,-0.94,-1.03,29.38,25.63,20.63,13.13,15.63,9,5,33.75,107,-0.6,0.45,31.25,111,-0.66,3,31.87,110,-0.6,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.27,26.88,118,-0.63,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,158,496,61,Oklahoma State University,"Agricultural Education, Communications and Leadership, Department of",Educational Leadership and Administration,13,68,86,37,12,52,7.17,27,144,106,12,49,1,1,2,24,2,28,202394,63,22,22,8,34,0,148,0,148,17,14,0,27,22,0,-1.69,148,8.13,0,-0.89,148,8.13,0.92,0.73,41,75,6.62,1,25,85,0.92,0.83,25,85,11.08,-0.55,111,31.25,1.67,-1.28,145,10,0.15,0.88,25,85,0.15,0.42,34,79.38,15568.77,-0.37,61,62.5,101197,-0.19,69,57.5,1.69,1.71,13,92.5,0.62,1.22,21,87.5,0.3,43,73.75,0.48,-1.14,0.16,0.54,0.1,0.89,0.6242,0.7,-0.9,-0.51,-0.31,0.13,0.37,-0.13,79.38,8.13,70,85.63,68.13,83.75,100,86.88,8.13,34.38,61.25,83.13,77.5,58.13,160,7/7/25 11:42,1,2,0.5,0.08,0.15,96,144,128,142,112,-0.56,-1.1741,-0.78,-0.96,-0.68,40.63,10.63,20.63,11.88,30.63,9,0,5.63,152,-1,0,5.63,152,-1.45,0,5.63,152,-1.21,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0,5.63,152,-1.95,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,15,552,61,Auburn University,"Educational Foundations, Leadership and Technology, Department of",Educational Leadership and Administration,22,23,91,35,18,25,5.06,74,817,38,18,25,0.95,77,0,74,0,74,0,74,3,103,3,78,18,33,8,26,17,14,0,27,22,0.36,0.06,75,53.75,0.82,-0.03,65,60,0.82,0.26,81,50,4.14,0.05,73,55,0.82,0.41,75,53.75,37.14,0.05,61,62.5,8.98,0.41,47,71.25,0,-0.67,74,54.38,0,-0.6,74,54.38,0,-0.55,74,54.38,0,-0.28,74,54.38,0.14,-0.85,134,16.88,0.14,-0.88,128,20.63,0.1,63,61.25,-0.38,0.68,0.88,-0.6,0.81,0.05,0.3467,-0.48,0.45,0.28,-0.4,-0.49,0.45,0.88,51.88,84.38,85,54.38,85,54.38,52.5,36.25,80,76.88,54.38,54.38,78.75,86.25,160,7/7/25 11:42,19,8,2.38,0.86,0.36,19,40,17,39,47,1.09,0.4981,1.06,0.54,0.48,88.75,75.63,90,76.25,71.25,9,26,90.63,16,1.08,1.18,72.5,45,0.6,14,92.5,13,1.62,2,99.38,2,3.91,0.09,99.38,2,4.7,1,100,1,8.86,0.64,86.88,22,1.14,0.05,100,1,9.72,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,163,649,61,Pennsylvania State University - University Park,"Education Policy Studies, Department of",Educational Leadership and Administration,18,34,127,17,16,30,7.94,16,1221,19,16,30,0.94,81,0,74,0,74,0,74,23,19,11,15,21,23,9,19,17,14,0,27,22,0.5,0.72,34,79.38,1.17,0.34,34,79.38,0.89,0.58,52,68.13,7.06,1.17,19,88.75,0.89,0.69,40,75.63,67.83,0.76,16,90.63,9.61,0.56,40,75.63,0,-0.67,74,54.38,0,-0.6,74,54.38,0,-0.55,74,54.38,0,-0.28,74,54.38,1.28,1.03,23,86.25,0.61,1.2,23,86.25,0.7,13,92.5,1,0.91,0.64,-0.6,0.57,1.19,0.3141,0.77,0.68,0.75,-0.4,-0.49,0.99,0.43,91.25,88.75,81.88,54.38,81.88,90.63,50,88.75,86.25,88.75,54.38,54.38,90,79.38,160,7/7/25 11:42,17,10,1.7,0.94,0.56,11,78,25,29,14,1.65,-0.1067,0.85,0.69,1.54,93.75,51.88,85,82.5,91.88,9,25,88.75,19,1,1.39,83.13,28,0.96,11,91.25,15,1.02,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.61,81.25,31,1.02,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,181,861,61,San Diego State University,"Administration, Rehabilitation and Postsecondary Education, Department of",Educational Leadership and Administration,11,87,53,70,11,58,4.82,83,247,93,10,62,0.91,91,3,12,6,9,2694407,16,11,45,6,44,4,109,2,112,17,14,0,27,22,0.18,-0.81,126,21.88,0.36,-0.51,121,25,1,1.07,1,100,4.82,0.31,56,65.63,0.91,0.77,31,81.25,22.45,-0.29,94,41.88,4.66,-0.59,116,28.13,0.27,2.08,9,95,0.55,3.01,3,98.75,244946.09,2.23,9,95,449067.83,0.13,34,79.38,1,0.57,32,80.63,0.55,0.91,32,80.63,0.2,52,68.13,0.14,-0.68,-0.08,1.11,-0.02,-0.04,0.1449,0.02,-0.6,-0.39,0.78,1.38,-0.13,-0.36,73.13,30.63,61.88,93.13,64.38,48.75,43.75,72.5,32.5,42.5,90.63,95,56.88,46.25,160,7/7/25 11:42,6,3,2,0.55,0.27,73,55,72,68,73,-0.28,0.1601,-0.27,-0.07,-0.02,55,66.25,55.63,58.13,55,9,4,27.5,117,-0.68,0.36,25,121,-0.82,2,22.5,125,-0.8,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.18,15.63,136,-1.07,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,187,872,61,Seton Hall University,"Education Leadership Management and Policy, Department of",Educational Leadership and Administration,6,144,45,78,6,114,7.5,23,304,84,6,106,1,1,0,74,0,74,0,74,4,90,2,99,7,85,2,112,17,14,0,27,22,0.33,-0.08,82,49.38,1.17,0.34,34,79.38,1,1.07,1,100,7.5,1.34,12,93.13,1,1.14,1,100,50.67,0.36,34,79.38,6.76,-0.1,83,48.75,0,-0.67,74,54.38,0,-0.6,74,54.38,0,-0.55,74,54.38,0,-0.28,74,54.38,0.67,0.02,54,66.88,0.33,-0.02,71,56.25,0.7,13,92.5,-0.55,-0.68,-0.56,-0.6,-0.61,1.02,0.6242,-0.42,-0.38,-0.32,-0.4,-0.49,-0.25,-0.92,38.75,30.63,34.38,54.38,29.38,86.25,100,44.38,47.5,48.13,54.38,54.38,51.88,10.63,160,7/7/25 11:42,2,1,2,0.33,0.17,114,55,115,99,109,-0.84,0.1601,-0.68,-0.47,-0.61,29.38,66.25,28.75,38.75,32.5,9,12,62.5,61,-0.04,2,96.25,7,2.02,4,47.5,85,-0.4,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.67,91.25,15,1.29,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,211,1092,61,Teachers College Columbia University,"Organization and Leadership, Department of",Educational Leadership and Administration,18,34,79,44,14,42,5.64,57,1204,21,14,35,1,1,3,12,4,15,1797957,22,32,12,11,15,26,19,11,13,17,14,0,27,22,0.61,1.25,17,90,1.44,0.64,22,86.88,0.78,0.08,94,41.88,4.39,0.15,67,58.75,0.78,0.25,88,45.63,66.89,0.74,18,89.38,15.24,1.87,8,95.63,0.17,1.01,22,86.88,0.22,0.87,21,87.5,99886.5,0.59,29,82.5,449489.25,0.13,33,80,1.78,1.85,12,93.13,0.61,1.2,23,86.25,0.3,43,73.75,1,1.36,0.4,1.11,0.34,0.28,0.6242,1.33,1.06,0.73,0.39,0.76,0.26,0.43,91.25,92.5,78.75,93.13,74.38,65,100,93.13,88.75,87.5,86.88,91.25,73.13,79.38,160,7/7/25 11:42,16,5,3.2,0.89,0.28,41,12,27,34,70,0.27,1.2275,0.75,0.59,0,75,93.13,83.75,79.38,56.88,9,22,85,25,0.76,1.22,75,41,0.67,8,75.62,40,0.41,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.44,58.75,67,0.21,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
AAD2023.09.02768,215,1119,61,Texas A&M University,"Educational Administration and Human Resource Development, Department of",Educational Leadership and Administration,22,23,177,7,21,17,8.43,12,2058,9,21,16,1,1,0,74,0,74,0,74,24,17,13,11,32,13,12,11,17,14,0,27,22,0.55,0.94,30,81.88,1.45,0.65,20,88.13,0.95,0.87,29,82.5,8.05,1.55,10,94.38,0.95,0.96,20,88.13,93.55,1.36,10,94.38,11.63,1.03,19,88.75,0,-0.67,74,54.38,0,-0.6,74,54.38,0,-0.55,74,54.38,0,-0.28,74,54.38,1.09,0.72,28,83.13,0.59,1.11,28,83.13,0.8,9,95,1.34,1.59,1.24,-0.6,1.17,1.39,0.6242,0.83,1.51,1.73,-0.4,-0.49,1.76,0.88,93.75,93.75,90.63,54.38,90,93.13,100,90,92.5,95,54.38,54.38,96.25,86.25,160,7/7/25 11:42,27,14,1.93,1.23,0.64,4,71,7,17,5,2.75,0.0978,1.87,1.23,1.99,98.13,56.25,96.25,90,97.5,9,32,93.13,12,1.56,1.45,86.88,22,1.07,15,94.37,10,1.82,0,98.75,3,-0.1,0,98.75,3,-0.1,0,98.75,3,-0.11,0.68,91.88,14,1.36,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,0,98.75,3,-0.09,0,98.75,3,-0.11,11,0,0
